filename,phase,topic,source,notion_location,description
img-024.jpg,Phase 4,Oral,Kerner — She Comes First,Atlas,Oral sex positioning — pillow under hips between her legs
img-025.jpg,Phase 4,Oral,Kerner — She Comes First,Atlas,Oral technique target zones — flat tongue on broader zone vs focused on glans
img-026.jpg,Phase 5,Aftercare,Original infographic,Atlas / Phase 5 page,The Heart Opener — hand on heart + hand on vulva post-orgasm aftercare
img-027.jpg,Phase 6,Position,SexPositions Club,Atlas / Phase 6 page,CAT (Coital Alignment Technique) — riding high grinding constant clitoral shaft contact
img-028.jpg,Phase 6,Position,SexPositions Club,Atlas,Butterfly variant — her at edge him standing
img-029.jpg,Phase 6,Position,SexPositions Club,Atlas,Lotus — seated face-to-face circular grinding intimate
img-030.jpg,Phase 6,Position,SexInfo101,Atlas,Missionary — elevated hips with pillow tilting pelvis to anterior wall
img-031.jpg,Phase 6,Position,SexInfo101,Atlas,Cowgirl — she controls everything lean forward for G-spot
img-032.jpg,Phase 6,Position,SexInfo101,Atlas,Reverse Cowgirl — facing his feet targeting P-spot posterior fornix
img-033.jpg,Phase 6,Position,SexInfo101,Atlas,Legs Up — deep G/A-spot angle legs on shoulders or chest
img-034.jpg,Phase 6,Position,SexInfo101,Atlas,Prone Bone — flat on stomach him on top from behind PS-spot pressure
img-035.jpg,Phase 6,Position,SexInfo101,Atlas,Spooning — side by side from behind free hand for clitoral or toy
img-036.jpg,Phase 6,Position,SexInfo101,Atlas / Phase 6 page,Doggy Style — no clitoral friction so always pair with vibrator or reach-around
img-037.jpg,Phase 6,Position,SexInfo101,Atlas,Standing from behind — against wall stamina re-patterning
img-038.jpg,Phase 6,Position,SexInfo101,Atlas,Standing wall pin — one leg lifted face-to-face dynamics
img-039.jpg,Phase 6,Position,SexInfo101,Atlas,69 — mutual simultaneous oral build arousal not for finishing
img-040.jpg,Phase 6,Position,SexInfo101,Atlas,Cowgirl lean forward — distinct G-spot angle variant
img-041.jpg,Phase 6,Position,SexInfo101,Atlas,Legs on shoulders — deep A-spot legs over his shoulders
img-042.jpg,Phase 6,Position,SexInfo101,Atlas,Standing variations — face-to-face + from behind side by side
img-043.jpg,Phase 6,Position,SexInfo101,Atlas,Standing variations — legs wrapped + leg lifted side by side
img-044.jpg,Phase 6,Position,SexPositions Club,Atlas,Standing doggy — bent forward primal high intensity
img-045.jpg,Phase 6,Position,SexPositions Club,Atlas,Legs held up — maximum depth Butterfly variant
img-046.jpg,Phase 6,Position,SexPositions Club,Atlas / Phase 6 page,Butterfly primary — legs over shoulders her at bed edge full depth control
img-047.jpg,Phase 6,Position,SexInfo101,Atlas,Missionary legs up — full body contact
img-048.jpg,Phase 6,Position,SexPositions Club,Atlas / Phase 6 page,Missionary kneeling with pillow — best finishing position for penetrative orgasm
img-049.jpg,Phase 6,Position,SexPositions Club,Atlas,Doggy chest lowered — deeper angle
img-050.jpg,Phase 6,Position,SexPositions Club,Atlas,Prone bone variation — full body weight pressed down
img-051.jpg,Phase 6,Position,SexInfo101,Atlas,Valedictorian — deep clitoral + G-spot Legs Up variant
img-052.jpg,Phase 6,Combined,SexInfo101,Atlas,CAT with hand — grinding + manual stimulation dual stimulation in action
img-053.jpg,Phase 6,Position,SexPositions Club,Atlas,Doggy standing — primal intensity high energy
img-054.jpg,Phase 6,Thrusting,Original infographic,Atlas / Phase 6 page,The 8:2 Thrust Ratio infographic — eight shallow + two deep nerve density map
img-055.jpg,Phase 6,Thrusting,Original infographic,Atlas / Phase 6 page,Hip-Angling for Lateral Walls — top-down view alternating diagonals
img-056.png,Phase 2,Anatomy,Healthwise 2022,Atlas / Phase 2 page,REPLACEMENT for img-006. Sagittal pelvic anatomy + internal depth zones (1\" 2\" 4\" full).
img-057.jpg,Phase 2,Anatomy,Kenneth Play,Atlas / Phase 2 page,Kenneth Play 4-spot diagram — G/A/P/PS-spots + arousal-state tenting (unaroused vs engorged)
img-058.jpg,Phase 2,Anatomy,Kenneth Play,Atlas / Phase 2 page,Vagina cross-section + depth preference data viz — 48% top wall + 18%/29%/37%/15% depth stats
img-059.jpg,Phase 4,Manual,Kenneth Play,Atlas / Phase 4 + Phase 6 pages,Pressure vs Friction diagram — visual support for the principle
img-060.jpg,Phase 4,Oral,SexInfo101 2017,Atlas / Phase 4 page,Face-Sitting north-facing — she faces toward his head
img-061.jpg,Phase 4,Oral,SexInfo101 2017,Atlas / Phase 4 page,Face-Sitting south-facing reverse — she faces toward his feet
